title,artist,romTitle,key,tempo,durationMs,timeSignature,verified,language,initialism,spotifyLink,youtubeLink,energy,danceability,valence,acousticness,instrumentalness,dateReleased
一點點,Jay Chou,Yi Dian Dian,G,134,221267,4/4,FALSE,mandarin,ydd,https://open.spotify.com/track/5rQPgfJMJ7yhsEr0HwTA77,,0.413,0.507,0.172,0.119,0.0000166,2016-06-24
土耳其冰淇淋,Jay Chou,Tu Er Qi Bing Qi Lin,G,114,195760,4/4,FALSE,mandarin,teqbql,https://open.spotify.com/track/2qm1nx1d1yAjYMZflBLNGC,,0.924,0.662,0.602,0.00203,0.206,2016-06-24
Yellow,Coldplay,,B,173,266773,4/4,FALSE,english,y,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,,0.661,0.429,0.285,0.00239,0.00013,2000-07-10
Adventure of a Lifetime,Coldplay,,G,112,263787,4/4,FALSE,english,aoal,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,,0.924,0.638,0.529,0.00205,0.000173,2015-12-04
不愛,David Tao,Bu Ai,F,75,205267,3/4,FALSE,mandarin,ba,https://open.spotify.com/track/2qqDNBNLJ5VwwJ1ExPW32O,,0.135,0.64,0.235,0.711,0,2006-07-31
愛我吧,Khalil Fong,Ai Wo Ba,C,82,287040,5/4,FALSE,mandarin,awb,https://open.spotify.com/track/1v1yW5kl8e2UmR23rtBD6i,,0.249,0.258,0.115,0.724,0,2008-12-19
最寂寞的時候,Crowd Lu,Zui Ji Mo De Shi Hou,G,98,274493,3/4,FALSE,mandarin,zjmdsh,https://open.spotify.com/track/13XImQFLYbIvtXP1kQC76F,,0.333,0.344,0.106,0.709,0,2009-10-30
Always,Bon Jovi,,E,141,353027,4/4,FALSE,english,a,https://open.spotify.com/track/2RChe0r2cMoyOvuKobZy44,,0.659,0.383,0.327,0.117,0,1994-10-18
年少有為,Ronghao Li,Nian Shao You Wei,Bb,132,279147,4/4,FALSE,mandarin,nsyw,https://open.spotify.com/track/6XY80Ofqd8j0SGiEdRLwCp,,0.462,0.518,0.289,0.322,0.00000313,2018-10-17
真的傻 (電影《一吻定情》追愛版主題曲),LaLa Hsu,Zhen De Sha,E,150,256000,4/4,FALSE,mandarin,zds,https://open.spotify.com/track/7mCr6Rn5jx04Fisvts97Z3,,0.383,0.522,0.332,0.714,0.0000167,2019-02-01
Señorita,Shawn Mendes,,Am,117,190960,4/4,FALSE,english,s,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik,,0.54,0.759,0.75,0.037,0,2019-06-21
那女孩對我說,Yida Huang,Na Nv Hai Dui Wo Shuo,C,80,270093,4/4,FALSE,mandarin,nnhdws,https://open.spotify.com/track/4lD40vyG33AcLiftmxQSC8,,0.51,0.554,0.436,0.83,0,2005-05-26
Bukan Cinta Biasa,Dato Siti Nurhaliza,,G,113,266983,4/4,FALSE,english,bcb,https://open.spotify.com/track/4arXMX7u6GSz4EJG92db1F,,0.408,0.621,0.295,0.639,0,2003-03-03
Sempurna,Naim Daniel,,Bm,98,228980,4/4,FALSE,english,s,https://open.spotify.com/track/6WAZpfqqjXQuyb8Db0qUEB,,0.67,0.666,0.662,0.0147,0,2018-09-21
Berdua Bersama (Milly & Mamet Original Motion Picture Soundtrack),Jaz,,G,90,218523,4/4,FALSE,english,bb,https://open.spotify.com/track/37uQDKOul7QOmRFB6kiYyO,,0.529,0.578,0.407,0.673,0.00000331,2018-11-16
慢冷,Fish Leong,Man Leng,E,92,289604,4/4,FALSE,mandarin,ml,https://open.spotify.com/track/3NNDJfWMGHuNpvHWTImmlW,,0.471,0.521,0.269,0.786,0,2019-05-16
這麼近(那麼遠),Jacky Cheung,Zhe Me Jin,G,142,375733,4/4,FALSE,mandarin,zmj,https://open.spotify.com/track/0J7ryYVVpsmfkCyoOMIoqK,,0.324,0.545,0.159,0.361,0,1995-01-01
對的時間點,JJ Lin,Dui De Shi Jian Dian,C#m,82,242613,4/4,FALSE,mandarin,ddsjd,https://open.spotify.com/track/33LJXFLqeifw9YxsVoeOgM,,0.493,0.394,0.238,0.65,0,2019-08-26
月色同行,颜黎明,Yue Se Tong Hang,A,65,240840,3/4,FALSE,mandarin,ysth,https://open.spotify.com/track/4Futk4Lv4hXfCjCUd4Xj8Y,,0.234,0.235,0.214,0.927,0.0000277,1996-06-01
我們不像我們 - LINE TV《HIStory3圈套》插曲,Della,Wo Men Bu Xiang Wo Men,Eb,144,249347,4/4,FALSE,mandarin,wmbxwm,https://open.spotify.com/track/0OufVcCkSh3bywfiFNvX9k,,0.333,0.519,0.195,0.762,0,2019-04-02
天天想你一遍 - 《Co-Living同居時代第二回合 夏季篇》片頭曲,Ruth Kueo,Tian Tian Xiang Ni Yi Bian,Cm,82,221707,4/4,FALSE,mandarin,ttxnyb,https://open.spotify.com/track/2HsfPdygiZtEB4nCL0pktu,,0.622,0.701,0.319,0.371,0,2019-07-23
Love in the First Degree,Bananarama,,C,118,211410,4/4,FALSE,english,litfd,https://open.spotify.com/track/2qjWA8QruRCkoFZUQJR4SQ,,0.92,0.787,0.661,0.246,0.00000982,1987-01-01
最愛的人傷我最深,Zhang Yu Sheng,Zui Ai De Ren Shang Wo Zui Shen,G,180,301093,4/4,FALSE,mandarin,zadrswzs,https://open.spotify.com/track/0uEKGvbSEjQ2cVe3PmW2df,,0.466,0.475,0.309,0.349,0,1998-11-01
差不多姑娘,G.E.M.,Cha Bu Duo Gu Niang,F#m,88,230043,4/4,FALSE,mandarin,cbdgn,https://open.spotify.com/track/1SllkYDv4yk2cyCNC1BajT,,0.758,0.758,0.502,0.219,0,2019-07-21
Speechless (Full),Naomi Scott,,F#m,125,208801,4/4,FALSE,english,s,https://open.spotify.com/track/0XPsOSYzDJZJArevQNm2AR,,0.489,0.474,0.23,0.467,0,2019-05-22
你是我胸口永遠的痛,Dave Wong,Ni Shi Wo Xiong Kou Yong Yuan De Tong,C#m,113,309333,4/4,FALSE,mandarin,nswxkyydt,https://open.spotify.com/track/4jZNEAi98HbnM216xYCRPd,,0.568,0.618,0.174,0.308,0.00000277,1988-07-11
刺鳥,F.I.R.飛兒樂團,Ci Niao,Am,81,246667,4/4,FALSE,mandarin,cn,https://open.spotify.com/track/3v3oT6e6Z2dQi1fCSEMd3v,,0.785,0.503,0.285,0.23,0,2005-04-06
A Sky Full of Stars,Coldplay,,Gb,125,268467,4/4,FALSE,english,asfos,https://open.spotify.com/track/0FDzzruyVECATHXKHFs9eJ,,0.636,0.551,0.153,0.00713,0.00203,2014-05-19
没有你陪伴我真的好孤单,冷漠,Mei You Ni Pei Ban Wo Zhen De Hao Gu Dan,Cm,83,289608,4/4,FALSE,mandarin,mynpbwzdhgd,https://open.spotify.com/track/0z40FQFfw0Nnp8rKrv9T8o,,0.629,0.585,0.356,0.139,0,2017-04-15
友谊万岁,MICappella,You Yi Wan Sui,F#m,170,231479,4/4,FALSE,mandarin,yyws,https://open.spotify.com/track/26KcFSvgvlVzLPlxyYzs1d,,0.318,0.411,0.204,0.872,0,2019-08-27
上弦月,Sammi Cheng,Shang Xian Yue,A,111,234040,4/4,FALSE,mandarin,sxy,https://open.spotify.com/track/1I8beG7N2fGoKxqRt8crDP,,0.57,0.59,0.173,0.655,0,1995-11-01
Together Forever,Rick Astley,,D,115,205533,4/4,FALSE,english,tf,https://open.spotify.com/track/76QJgXPE3oc1cnkE4PFHEn,,0.933,0.702,0.896,0.0519,0.000128,1987-11-12
野狼Disco,寶石Gem,Ye Lang,C#m,98,239256,4/4,FALSE,mandarin,yl,https://open.spotify.com/track/2Zc5d8BN5DEwTcv9JpZqz9,,0.839,0.779,0.693,0.56,0,2019-09-02
將故事寫成我們,JJ Lin,Jiang Gu Shi Xie Cheng Wo Men,Ab,135,335480,4/4,FALSE,mandarin,jgsxcwm,https://open.spotify.com/track/3Vl7IqSQsAsfScssywTDny,,0.636,0.462,0.388,0.611,0,2019-09-20
"我多喜歡你,你會知道 - 網劇《致我們單純的小美好》推廣曲",Wang Jun Qi,Wo Duo Xi Huan Ni Ni Hui Zhi Dao,Eb,108,199680,4/4,FALSE,mandarin,wdxhnnhzd,https://open.spotify.com/track/221FBKC22DTc7XkPIaZYOl,,0.35,0.777,0.516,0.526,0,2017-10-03
Can't Help Falling In Love,Kina Grannis,,C,121,201933,3/4,FALSE,english,chfil,https://open.spotify.com/track/6lfxq3CG4xtTiEg7opyCyx,,0.0596,0.266,0.143,0.905,0.0000707,2018-08-10
發現愛,JJ Lin,Fa Xian Ai,Db,82,220056,3/4,FALSE,mandarin,fxa,https://open.spotify.com/track/3D0vHU0QeUsLfJk9qP0Nje,,0.512,0.642,0.345,0.599,0,2016-01-08
流星雨,F4,Liu Xing Yu,E,136,276600,4/4,FALSE,mandarin,lxy,https://open.spotify.com/track/1hPNdCII2b8NOEIqwbbsdG,,0.448,0.578,0.169,0.129,0,2001-08-27
Special Person,Khalil Fong,,B,140,259080,4/4,FALSE,english,sp,https://open.spotify.com/track/5BrVDcUk9KMi9UbYOea9er,,0.481,0.581,0.288,0.354,0,2016-09-21
心跳的證明 - 電影《一吻定情》心動版主題曲,劉人語,Xin Tiao De Zheng Ming,F,174,230591,4/4,FALSE,mandarin,xtdzm,https://open.spotify.com/track/72f9WiINVWeJjtkwDKbZUU,,0.563,0.46,0.268,0.266,0.00036,2019-02-18
Everything I Need,Skylar Grey,,D,75,200563,4/4,FALSE,english,ein,https://open.spotify.com/track/7jKCAmjP2cAn9WxxIVR14Y,,0.224,0.531,0.276,0.874,0,2019-07-19
Beautiful Soul,Jesse McCartney,,A,90,214227,4/4,FALSE,english,bs,https://open.spotify.com/track/1HwpWwa6bnqqRhK8agG4RS,,0.666,0.66,0.933,0.0759,0,2004-01-01
手掌心,Della,Shou Zhang Xin,Bbm,146,255551,4/4,FALSE,mandarin,szx,https://open.spotify.com/track/0RHldQWFLZ3mNMU6FXfWrO,,0.528,0.447,0.398,0.74,0,2014-07-08
I Love You Will Still Sound The Same,Oh Honey,,Eb,114,207123,4/4,FALSE,english,ilywssts,https://open.spotify.com/track/6KRddNr4XlooytDWtefT7L,,0.737,0.607,0.702,0.0348,0,2016-05-06
Otomen,Yoga Lin,,G,91,235480,4/4,FALSE,english,o,https://open.spotify.com/track/28TbObgGrTSyrfYl6KAnZH,,0.426,0.738,0.475,0.242,0.00015,2019-09-24
一路向北,Jay Chou,Yi Lu Xiang Bei,F,134,294240,4/4,FALSE,mandarin,ylxb,https://open.spotify.com/track/31RIphTQ9y4zStkH5xRWgW,,0.617,0.456,0.3,0.0133,0.0000595,2005-11-01
如燕 (夏夜晚風音樂會),Olivia Ong,Ru Yan,Bb,84,314707,4/4,FALSE,mandarin,ry,https://open.spotify.com/track/3EcuUJwSxlmFcROQZd0UFs,,0.263,0.378,0.203,0.899,0,2010-08-16
喜歡你可不可以,Nat Wu,Xi Huan Ni Ke Bu Ke Yi,A,118,232373,4/4,FALSE,mandarin,xhnkbky,https://open.spotify.com/track/3RkE7nvVgEwW3C1xIswGGz,,0.827,0.624,0.497,0.283,0,2018-11-26
神奇,Stefanie Sun,Shen Qi,Db,98,262733,4/4,FALSE,mandarin,sq,https://open.spotify.com/track/5HI1AOrTGhKQcbRKkAwAhN,,0.885,0.596,0.384,0.0229,0.00266,2006-09-21
Jai Ho,Sukhwinder Singh,,G,137,319813,4/4,FALSE,english,jh,https://open.spotify.com/track/0BlMvHfyilCmgKrNUQabR6,,0.715,0.781,0.573,0.00535,0.835,2009-05-25
Jai Ho! (You Are My Destiny),A.R. Rahman,,G#m,136,222400,4/4,FALSE,english,jh,https://open.spotify.com/track/7Kpqjspw4Y7HrvItIRcBiW,,0.942,0.653,0.895,0.0548,0.00000106,2009-01-01
青春修煉手冊,TFBOYS,Qing Chun Xiu Lian Shou Ce,G#m,130,263077,4/4,FALSE,mandarin,qcxlsc,https://open.spotify.com/track/7FrSronLW3WJJEVMvyRcdX,,0.92,0.704,0.564,0.0435,0,2017-01-01
Semoga Bahagia - Live,Zubir Said,,C,118,194368,4/4,FALSE,english,sb,https://open.spotify.com/track/47obVPWeDnU6a38KKnB2I1,,0.151,0.241,0.379,0.759,0.938,2019-08-02
你的酒馆对我打了烊,Shirley Chen,Ni De Jiu Guan Dui Wo Da Le Yang,Cm,168,251429,4/4,FALSE,mandarin,ndjgdwdly,https://open.spotify.com/track/6BL2V0CvfW9QVHm9oU4Lmk,,0.555,0.604,0.457,0.691,0,2019-03-08
"You've Got a Friend in Me - From ""Toy Story""/Soundtrack Version",Randy Newman,,Eb,116,124160,4/4,FALSE,english,ygafim,https://open.spotify.com/track/2stkLJ0JNcXkIRDNF3ld6c,,0.335,0.681,0.532,0.793,0.00000339,1995-01-01
